transaction_id,description,amount,category
E001,books,562.71,Education
E002,shoes,751.74,Shopping
E003,groceries,240.91,Food
E004,groceries,357.21,Food
E005,movie,450.0,Entertainment
E006,books,405.0,Education
E007,dinner,366.35,Food
E008,coffee,254.25,Food
E009,dinner,145.72,Food
E010,online order,1021.23,Shopping
E011,cab,178.59,Travel
E012,books,364.92,Education
E013,shoes,892.03,Shopping
E014,bag,338.2,Shopping
E015,dinner,82.83,Food
E016,electricity,271.76,Utilities
E017,restaurant,114.11,Food
E018,snacks,207.34,Food
E019,books,299.06,Education
E020,online order,423.72,Shopping
E021,restaurant,1910.14,Food
E022,snacks,162.61,Food
E023,outing,515.43,Entertainment
E024,game,263.35,Entertainment
E025,exam fee,352.23,Education
E026,groceries,189.21,Food
E027,snacks,107.23,Food
E028,internet,414.47,Utilities
E029,streaming,381.58,Entertainment
E030,groceries,157.86,Food
E031,concert,381.4,Entertainment
E032,metro,506.31,Travel
E033,clothes,795.16,Shopping
E034,notebook,279.58,Education
E035,notebook,651.58,Education
E036,restaurant,103.92,Food
E037,groceries,197.74,Food
E038,shoes,331.21,Shopping
E039,clothes,440.07,Shopping
E040,canteen lunch,196.67,Food
E041,streaming,697.09,Entertainment
E042,dinner,194.43,Food
E043,electricity,332.25,Utilities
E044,restaurant,157.19,Food
E045,fuel,113.1,Travel
E046,auto,159.13,Travel
E047,groceries,146.3,Food
E048,online course,724.12,Education
E049,accessories,933.78,Shopping
E050,streaming,226.16,Entertainment
E051,metro,254.54,Travel
E052,books,378.4,Education
E053,clothes,589.93,Shopping
E054,dinner,237.04,Food
E055,accessories,1272.27,Shopping
E056,printing,684.25,Education
E057,cab,150.8,Travel
E058,stationery,391.55,Education
E059,movie,580.38,Entertainment
E060,clothes,1240.92,Shopping
E061,online order,644.83,Shopping
E062,bag,735.88,Shopping
E063,restaurant,109.41,Food
E064,canteen lunch,105.07,Food
E065,electricity,504.5,Utilities
E066,internet,644.35,Utilities
E067,books,435.65,Education
E068,game,785.4,Entertainment
E069,outing,588.36,Entertainment
E070,notebook,336.62,Education
E071,metro,1036.47,Travel
E072,stationery,899.07,Education
E073,electricity,344.4,Utilities
E074,books,909.9,Education
E075,electricity,107.67,Utilities
E076,dinner,260.55,Food
E077,movie,519.97,Entertainment
E078,restaurant,157.34,Food
E079,outing,521.08,Entertainment
E080,shoes,327.08,Shopping
E081,stationery,407.64,Education
E082,coffee,211.38,Food
E083,streaming,972.3,Entertainment
E084,internet,277.19,Utilities
E085,accessories,556.01,Shopping
E086,electricity,279.26,Utilities
E087,train,332.14,Travel
E088,metro,255.08,Travel
E089,snacks,141.82,Food
E090,coffee,226.77,Food
E091,dinner,188.04,Food
E092,groceries,278.34,Food
E093,notebook,328.1,Education
E094,canteen lunch,155.32,Food
E095,movie,419.12,Entertainment
E096,online course,232.91,Education
E097,shoes,914.03,Shopping
E098,exam fee,506.09,Education
E099,water,350.81,Utilities
E100,restaurant,161.97,Food
E101,concert,264.46,Entertainment
E102,groceries,148.96,Food
E103,cab,188.56,Travel
E104,fuel,153.33,Travel
E105,groceries,167.4,Food
E106,mobile recharge,419.79,Utilities
E107,groceries,420.62,Food
E108,bus,237.98,Travel
E109,dinner,202.12,Food
E110,notebook,435.17,Education
E111,auto,92.78,Travel
E112,bus,217.39,Travel
E113,train,226.04,Travel
E114,groceries,545.34,Food
E115,mobile recharge,320.98,Utilities
E116,internet,400.87,Utilities
E117,restaurant,177.21,Food
E118,printing,265.96,Education
E119,internet,585.35,Utilities
E120,cab,308.59,Travel
E121,restaurant,256.96,Food
E122,groceries,119.55,Food
E123,water,657.99,Utilities
E124,snacks,95.79,Food
E125,canteen lunch,234.4,Food
E126,stationery,1205.87,Education
E127,snacks,115.26,Food
E128,coffee,139.51,Food
E129,train,230.09,Travel
E130,coffee,143.51,Food
E131,dinner,89.58,Food
E132,canteen lunch,185.64,Food
E133,shoes,496.0,Shopping
E134,train,272.26,Travel
E135,coffee,119.01,Food
E136,canteen lunch,2630.4,Food
E137,train,154.65,Travel
E138,online course,389.29,Education
E139,internet,504.73,Utilities
E140,bag,459.77,Shopping
E141,restaurant,199.4,Food
E142,groceries,324.14,Food
E143,snacks,87.32,Food
E144,mobile recharge,380.32,Utilities
E145,coffee,202.33,Food
E146,mobile recharge,497.58,Utilities
E147,dinner,103.16,Food
E148,notebook,248.4,Education
E149,mobile recharge,442.66,Utilities
E150,game,571.49,Entertainment
E151,restaurant,201.48,Food
E152,game,584.36,Entertainment
E153,exam fee,331.37,Education
E154,exam fee,499.58,Education
E155,game,570.49,Entertainment
E156,mobile recharge,253.78,Utilities
E157,internet,810.4,Utilities
E158,canteen lunch,222.78,Food
E159,shoes,468.03,Shopping
E160,coffee,241.87,Food
E161,snacks,116.09,Food
E162,groceries,256.5,Food
E163,outing,842.17,Entertainment
E164,books,311.05,Education
E165,restaurant,277.68,Food
E166,movie,602.06,Entertainment
E167,dinner,260.57,Food
E168,online course,1056.59,Education
E169,restaurant,161.18,Food
E170,printing,320.56,Education
E171,books,301.56,Education
E172,groceries,124.69,Food
E173,mobile recharge,338.06,Utilities
E174,outing,582.96,Entertainment
E175,printing,509.67,Education
E176,snacks,261.17,Food
E177,bus,221.29,Travel
E178,concert,961.7,Entertainment
E179,clothes,710.18,Shopping
E180,train,748.22,Travel
E181,streaming,662.59,Entertainment
E182,internet,237.99,Utilities
E183,internet,216.16,Utilities
E184,concert,621.24,Entertainment
E185,movie,452.17,Entertainment
E186,snacks,248.21,Food
E187,accessories,989.87,Shopping
E188,concert,483.88,Entertainment
E189,groceries,122.96,Food
E190,canteen lunch,91.04,Food
E191,concert,408.98,Entertainment
E192,restaurant,264.63,Food
E193,metro,242.25,Travel
E194,groceries,102.76,Food
E195,snacks,194.59,Food
E196,canteen lunch,214.08,Food
E197,electricity,235.14,Utilities
E198,train,235.76,Travel
E199,train,225.84,Travel
E200,bus,131.54,Travel
E201,snacks,211.44,Food
E202,snacks,231.67,Food
E203,coffee,293.05,Food
E204,fuel,353.48,Travel
E205,accessories,430.38,Shopping
E206,stationery,295.07,Education
E207,coffee,226.95,Food
E208,canteen lunch,226.82,Food
E209,clothes,1008.67,Shopping
E210,stationery,2547.78,Education
E211,shoes,1034.33,Shopping
E212,bus,366.73,Travel
E213,electricity,537.66,Utilities
E214,exam fee,603.28,Education
E215,game,433.87,Entertainment
E216,exam fee,633.2,Education
E217,cab,155.38,Travel
E218,online order,719.13,Shopping
E219,restaurant,144.68,Food
E220,accessories,830.02,Shopping
E221,shoes,2266.99,Shopping
E222,online course,194.22,Education
E223,bus,299.6,Travel
E224,metro,106.47,Travel
E225,train,177.91,Travel
E226,online course,734.56,Education
E227,cab,226.46,Travel
E228,online order,492.57,Shopping
E229,fuel,159.45,Travel
E230,canteen lunch,244.39,Food
E231,groceries,129.58,Food
E232,online course,496.04,Education
E233,dinner,183.73,Food
E234,shoes,596.69,Shopping
E235,concert,1312.1,Entertainment
E236,dinner,239.42,Food
E237,mobile recharge,140.7,Utilities
E238,fuel,239.26,Travel
E239,exam fee,334.1,Education
E240,accessories,1174.04,Shopping
E241,metro,154.01,Travel
E242,books,427.36,Education
E243,movie,627.57,Entertainment
E244,shoes,1181.1,Shopping
E245,groceries,104.88,Food
E246,books,387.12,Education
E247,books,363.41,Education
E248,cab,163.96,Travel
E249,online order,1770.59,Shopping
E250,printing,539.96,Education
E251,exam fee,255.15,Education
E252,streaming,755.7,Entertainment
E253,outing,1299.3,Entertainment
E254,metro,350.11,Travel
E255,accessories,403.79,Shopping
E256,metro,176.92,Travel
E257,game,884.23,Entertainment
E258,online order,581.82,Shopping
E259,notebook,549.48,Education
E260,canteen lunch,255.07,Food
E261,shoes,527.15,Shopping
E262,snacks,175.24,Food
E263,movie,116.28,Entertainment
E264,dinner,113.52,Food
E265,metro,196.36,Travel
E266,clothes,456.28,Shopping
E267,auto,458.62,Travel
E268,printing,236.44,Education
E269,restaurant,147.66,Food
E270,train,233.33,Travel
E271,mobile recharge,669.48,Utilities
E272,outing,262.03,Entertainment
E273,bus,371.32,Travel
E274,electricity,351.62,Utilities
E275,accessories,514.36,Shopping
E276,exam fee,554.02,Education
E277,stationery,492.17,Education
E278,streaming,381.65,Entertainment
E279,restaurant,185.74,Food
E280,printing,378.36,Education
